word,pos,zipf,URL
a,determiner,7.36,https://dictionary.cambridge.org/dictionary/learner-english/a_1
à la carte,"adjective, adverb",3.17,https://dictionary.cambridge.org/dictionary/learner-english/a-la-carte
A level,noun,5.41,https://dictionary.cambridge.org/dictionary/learner-english/a-level
A&amp;E,noun,3.79,https://dictionary.cambridge.org/dictionary/learner-english/a-e
aback,adverb,2.91,https://dictionary.cambridge.org/dictionary/learner-english/aback
abacus,noun,2.62,https://dictionary.cambridge.org/dictionary/learner-english/abacus
abandon,verb,4.06,https://dictionary.cambridge.org/dictionary/learner-english/abandon
abate,verb,2.67,https://dictionary.cambridge.org/dictionary/learner-english/abate
abattoir,noun,2.49,https://dictionary.cambridge.org/dictionary/learner-english/abattoir
abbey,noun,3.91,https://dictionary.cambridge.org/dictionary/learner-english/abbey
abbreviate,verb,2.18,https://dictionary.cambridge.org/dictionary/learner-english/abbreviate
abbreviation,noun,3.18,https://dictionary.cambridge.org/dictionary/learner-english/abbreviation
abdicate,verb,2.7,https://dictionary.cambridge.org/dictionary/learner-english/abdicate
abdomen,noun,3.56,https://dictionary.cambridge.org/dictionary/learner-english/abdomen
abduct,verb,2.72,https://dictionary.cambridge.org/dictionary/learner-english/abduct
aberration,noun,2.95,https://dictionary.cambridge.org/dictionary/learner-english/aberration
abet,verb,2.37,https://dictionary.cambridge.org/dictionary/learner-english/abet
abhor,verb,2.65,https://dictionary.cambridge.org/dictionary/learner-english/abhor
abhorrent,adjective,2.88,https://dictionary.cambridge.org/dictionary/learner-english/abhorrent
abide,verb,3.62,https://dictionary.cambridge.org/dictionary/learner-english/abide
abiding,adjective,3.41,https://dictionary.cambridge.org/dictionary/learner-english/abiding
ability,noun,4.97,https://dictionary.cambridge.org/dictionary/learner-english/ability
abject,adjective,2.94,https://dictionary.cambridge.org/dictionary/learner-english/abject
ablaze,adjective,2.89,https://dictionary.cambridge.org/dictionary/learner-english/ablaze
able,adjective,5.42,https://dictionary.cambridge.org/dictionary/learner-english/able
able-bodied,adjective,3.39,https://dictionary.cambridge.org/dictionary/learner-english/able-bodied
abnormal,adjective,3.76,https://dictionary.cambridge.org/dictionary/learner-english/abnormal
abnormality,noun,2.86,https://dictionary.cambridge.org/dictionary/learner-english/abnormality
aboard,"adverb, preposition",4.16,https://dictionary.cambridge.org/dictionary/learner-english/aboard
abode,noun,3.16,https://dictionary.cambridge.org/dictionary/learner-english/abode
abolish,verb,3.46,https://dictionary.cambridge.org/dictionary/learner-english/abolish
abominable,adjective,2.89,https://dictionary.cambridge.org/dictionary/learner-english/abominable
Aboriginal,adjective,3.94,https://dictionary.cambridge.org/dictionary/learner-english/aboriginal
Aborigine,noun,2.17,https://dictionary.cambridge.org/dictionary/learner-english/aborigine
abort,verb,3.25,https://dictionary.cambridge.org/dictionary/learner-english/abort
abortion,noun,4.19,https://dictionary.cambridge.org/dictionary/learner-english/abortion
abortive,adjective,2.7,https://dictionary.cambridge.org/dictionary/learner-english/abortive
abound,verb,3.22,https://dictionary.cambridge.org/dictionary/learner-english/abound
about,adverb,6.38,https://dictionary.cambridge.org/dictionary/learner-english/about_2
about,preposition,6.38,https://dictionary.cambridge.org/dictionary/learner-english/about_1
above,"adjective, adverb",5.25,https://dictionary.cambridge.org/dictionary/learner-english/above_2
above,"adverb, preposition",5.25,https://dictionary.cambridge.org/dictionary/learner-english/above_1
above board,adjective,4.93,https://dictionary.cambridge.org/dictionary/learner-english/above-board
abrasive,adjective,3.18,https://dictionary.cambridge.org/dictionary/learner-english/abrasive
abreast,adverb,2.99,https://dictionary.cambridge.org/dictionary/learner-english/abreast
abridged,adjective,3.03,https://dictionary.cambridge.org/dictionary/learner-english/abridged
abroad,adverb,4.44,https://dictionary.cambridge.org/dictionary/learner-english/abroad
abrupt,adjective,3.4,https://dictionary.cambridge.org/dictionary/learner-english/abrupt
abscess,noun,2.79,https://dictionary.cambridge.org/dictionary/learner-english/abscess
abscond,verb,2.02,https://dictionary.cambridge.org/dictionary/learner-english/abscond
absence,noun,4.47,https://dictionary.cambridge.org/dictionary/learner-english/absence
absent,adjective,3.99,https://dictionary.cambridge.org/dictionary/learner-english/absent
absent-minded,adjective,3.74,https://dictionary.cambridge.org/dictionary/learner-english/absent-minded
absentee,noun,2.98,https://dictionary.cambridge.org/dictionary/learner-english/absentee
absently,adverb,1.62,https://dictionary.cambridge.org/dictionary/learner-english/absently
absolute,adjective,4.5,https://dictionary.cambridge.org/dictionary/learner-english/absolute
absolutely,adverb,4.9,https://dictionary.cambridge.org/dictionary/learner-english/absolutely
absolve,verb,2.82,https://dictionary.cambridge.org/dictionary/learner-english/absolve
absorb,verb,3.82,https://dictionary.cambridge.org/dictionary/learner-english/absorb
absorbent,adjective,2.73,https://dictionary.cambridge.org/dictionary/learner-english/absorbent
absorbing,adjective,3.45,https://dictionary.cambridge.org/dictionary/learner-english/absorbing
abstain,verb,3.11,https://dictionary.cambridge.org/dictionary/learner-english/abstain
abstinence,noun,3.23,https://dictionary.cambridge.org/dictionary/learner-english/abstinence
abstract,adjective,4.12,https://dictionary.cambridge.org/dictionary/learner-english/abstract
absurd,adjective,3.97,https://dictionary.cambridge.org/dictionary/learner-english/absurd
abundance,noun,3.87,https://dictionary.cambridge.org/dictionary/learner-english/abundance
abundant,adjective,3.78,https://dictionary.cambridge.org/dictionary/learner-english/abundant
abuse,noun,4.65,https://dictionary.cambridge.org/dictionary/learner-english/abuse_1
abuse,verb,4.65,https://dictionary.cambridge.org/dictionary/learner-english/abuse_2
abusive,adjective,3.82,https://dictionary.cambridge.org/dictionary/learner-english/abusive
abysmal,adjective,2.84,https://dictionary.cambridge.org/dictionary/learner-english/abysmal
abyss,noun,3.44,https://dictionary.cambridge.org/dictionary/learner-english/abyss
academia,noun,3.52,https://dictionary.cambridge.org/dictionary/learner-english/academia
academic,adjective,4.53,https://dictionary.cambridge.org/dictionary/learner-english/academic_1
academic,noun,4.53,https://dictionary.cambridge.org/dictionary/learner-english/academic_2
academy,noun,4.47,https://dictionary.cambridge.org/dictionary/learner-english/academy
accelerate,verb,3.69,https://dictionary.cambridge.org/dictionary/learner-english/accelerate
accelerator,noun,3.35,https://dictionary.cambridge.org/dictionary/learner-english/accelerator
accent,noun,4.12,https://dictionary.cambridge.org/dictionary/learner-english/accent
accentuate,verb,2.78,https://dictionary.cambridge.org/dictionary/learner-english/accentuate
accept,verb,4.87,https://dictionary.cambridge.org/dictionary/learner-english/accept
acceptable,adjective,4.34,https://dictionary.cambridge.org/dictionary/learner-english/acceptable
acceptance,noun,4.21,https://dictionary.cambridge.org/dictionary/learner-english/acceptance
accepted,adjective,4.73,https://dictionary.cambridge.org/dictionary/learner-english/accepted
access,noun,5.05,https://dictionary.cambridge.org/dictionary/learner-english/access_1
access provider,noun,4.05,https://dictionary.cambridge.org/dictionary/learner-english/access-provider
access,verb,5.05,https://dictionary.cambridge.org/dictionary/learner-english/access_2
accessible,adjective,4.17,https://dictionary.cambridge.org/dictionary/learner-english/accessible
accessory,noun,3.62,https://dictionary.cambridge.org/dictionary/learner-english/accessory
accident,noun,4.73,https://dictionary.cambridge.org/dictionary/learner-english/accident
accident-prone,adjective,3.85,https://dictionary.cambridge.org/dictionary/learner-english/accident-prone
accidental,adjective,3.84,https://dictionary.cambridge.org/dictionary/learner-english/accidental
acclaim,noun,3.24,https://dictionary.cambridge.org/dictionary/learner-english/acclaim
acclaimed,adjective,3.53,https://dictionary.cambridge.org/dictionary/learner-english/acclaimed
acclimatize,verb,1.81,https://dictionary.cambridge.org/dictionary/learner-english/acclimatize
accolade,noun,2.71,https://dictionary.cambridge.org/dictionary/learner-english/accolade
