word,pos,zipf,URL
the,determiner,7.77,https://dictionary.cambridge.org/dictionary/learner-english/the
of,preposition,7.45,https://dictionary.cambridge.org/dictionary/learner-english/of
to,adverb,7.44,https://dictionary.cambridge.org/dictionary/learner-english/to_3
to,preposition,7.44,https://dictionary.cambridge.org/dictionary/learner-english/to_2
and,conjunction,7.41,https://dictionary.cambridge.org/dictionary/learner-english/and
a,determiner,7.36,https://dictionary.cambridge.org/dictionary/learner-english/a_1
in,adjective,7.29,https://dictionary.cambridge.org/dictionary/learner-english/in_4
in,adverb,7.29,https://dictionary.cambridge.org/dictionary/learner-english/in_3
in,preposition,7.29,https://dictionary.cambridge.org/dictionary/learner-english/in_2
that,adverb,7.02,https://dictionary.cambridge.org/dictionary/learner-english/that_4
that,conjunction,7.02,https://dictionary.cambridge.org/dictionary/learner-english/that_3
that,determiner,7.02,https://dictionary.cambridge.org/dictionary/learner-english/that_1
for,preposition,7.01,https://dictionary.cambridge.org/dictionary/learner-english/for
IT,noun,6.96,https://dictionary.cambridge.org/dictionary/learner-english/it_2
on,adverb,6.92,https://dictionary.cambridge.org/dictionary/learner-english/on_2
on,preposition,6.92,https://dictionary.cambridge.org/dictionary/learner-english/on_1
with,preposition,6.85,https://dictionary.cambridge.org/dictionary/learner-english/with
be,verb,6.8,https://dictionary.cambridge.org/dictionary/learner-english/be_1
this,adverb,6.8,https://dictionary.cambridge.org/dictionary/learner-english/this_3
this,determiner,6.8,https://dictionary.cambridge.org/dictionary/learner-english/this_1
as,"preposition, conjunction",6.79,https://dictionary.cambridge.org/dictionary/learner-english/as
not,adverb,6.71,https://dictionary.cambridge.org/dictionary/learner-english/not
have,verb,6.7,https://dictionary.cambridge.org/dictionary/learner-english/have_3
at,preposition,6.69,https://dictionary.cambridge.org/dictionary/learner-english/at
by,adverb,6.68,https://dictionary.cambridge.org/dictionary/learner-english/by_2
by,preposition,6.68,https://dictionary.cambridge.org/dictionary/learner-english/by_1
from,preposition,6.63,https://dictionary.cambridge.org/dictionary/learner-english/from
but,adverb,6.62,https://dictionary.cambridge.org/dictionary/learner-english/but_3
but,conjunction,6.62,https://dictionary.cambridge.org/dictionary/learner-english/but_1
but,preposition,6.62,https://dictionary.cambridge.org/dictionary/learner-english/but_2
my,determiner,6.56,https://dictionary.cambridge.org/dictionary/learner-english/my
an,determiner,6.55,https://dictionary.cambridge.org/dictionary/learner-english/an
or,conjunction,6.54,https://dictionary.cambridge.org/dictionary/learner-english/or
all,adverb,6.52,https://dictionary.cambridge.org/dictionary/learner-english/all_2
his,determiner,6.52,https://dictionary.cambridge.org/dictionary/learner-english/his_1
so,adjective,6.5,https://dictionary.cambridge.org/dictionary/learner-english/so_3
so,adverb,6.5,https://dictionary.cambridge.org/dictionary/learner-english/so_1
so,conjunction,6.5,https://dictionary.cambridge.org/dictionary/learner-english/so_2
one,determiner,6.48,https://dictionary.cambridge.org/dictionary/learner-english/one_3
your,determiner,6.48,https://dictionary.cambridge.org/dictionary/learner-english/your
if,conjunction,6.47,https://dictionary.cambridge.org/dictionary/learner-english/if_1
if,noun,6.47,https://dictionary.cambridge.org/dictionary/learner-english/if_2
can,noun,6.45,https://dictionary.cambridge.org/dictionary/learner-english/can_2
can,verb,6.45,https://dictionary.cambridge.org/dictionary/learner-english/can_3
will,noun,6.45,https://dictionary.cambridge.org/dictionary/learner-english/will_2
just,adjective,6.41,https://dictionary.cambridge.org/dictionary/learner-english/just_2
just,adverb,6.41,https://dictionary.cambridge.org/dictionary/learner-english/just_1
like,conjunction,6.39,https://dictionary.cambridge.org/dictionary/learner-english/like_3
like,noun,6.39,https://dictionary.cambridge.org/dictionary/learner-english/like_4
like,preposition,6.39,https://dictionary.cambridge.org/dictionary/learner-english/like_1
like,verb,6.39,https://dictionary.cambridge.org/dictionary/learner-english/like_2
about,adverb,6.38,https://dictionary.cambridge.org/dictionary/learner-english/about_2
about,preposition,6.38,https://dictionary.cambridge.org/dictionary/learner-english/about_1
up,adjective,6.38,https://dictionary.cambridge.org/dictionary/learner-english/up_2
up,"adverb, preposition",6.38,https://dictionary.cambridge.org/dictionary/learner-english/up_1
up,verb,6.38,https://dictionary.cambridge.org/dictionary/learner-english/up_3
do,noun,6.37,https://dictionary.cambridge.org/dictionary/learner-english/do_3
do,verb,6.37,https://dictionary.cambridge.org/dictionary/learner-english/do_2
no,adverb,6.36,https://dictionary.cambridge.org/dictionary/learner-english/no_4
no,determiner,6.36,https://dictionary.cambridge.org/dictionary/learner-english/no_3
out,"adjective, adverb",6.36,https://dictionary.cambridge.org/dictionary/learner-english/out_2
out,verb,6.36,https://dictionary.cambridge.org/dictionary/learner-english/out_3
when,adverb,6.36,https://dictionary.cambridge.org/dictionary/learner-english/when_1
when,conjunction,6.36,https://dictionary.cambridge.org/dictionary/learner-english/when_2
more,adverb,6.35,https://dictionary.cambridge.org/dictionary/learner-english/more_2
had,verb,6.34,https://dictionary.cambridge.org/dictionary/learner-english/had
their,determiner,6.34,https://dictionary.cambridge.org/dictionary/learner-english/their
out of,preposition,6.33,https://dictionary.cambridge.org/dictionary/learner-english/out-of
there,adverb,6.33,https://dictionary.cambridge.org/dictionary/learner-english/there_2
been,verb,6.28,https://dictionary.cambridge.org/dictionary/learner-english/been
her,determiner,6.28,https://dictionary.cambridge.org/dictionary/learner-english/her_2
time,noun,6.28,https://dictionary.cambridge.org/dictionary/learner-english/time_1
time,verb,6.28,https://dictionary.cambridge.org/dictionary/learner-english/time_2
get,verb,6.26,https://dictionary.cambridge.org/dictionary/learner-english/get
new,adjective,6.25,https://dictionary.cambridge.org/dictionary/learner-english/new
people,noun,6.23,https://dictionary.cambridge.org/dictionary/learner-english/people
its,determiner,6.21,https://dictionary.cambridge.org/dictionary/learner-english/its
also,adverb,6.2,https://dictionary.cambridge.org/dictionary/learner-english/also
how,adverb,6.2,https://dictionary.cambridge.org/dictionary/learner-english/how_1
how,conjunction,6.2,https://dictionary.cambridge.org/dictionary/learner-english/how_2
so-so,adjective,6.2,https://dictionary.cambridge.org/dictionary/learner-english/so-so
some,adverb,6.19,https://dictionary.cambridge.org/dictionary/learner-english/some_2
now,adverb,6.18,https://dictionary.cambridge.org/dictionary/learner-english/now_1
now,conjunction,6.18,https://dictionary.cambridge.org/dictionary/learner-english/now_2
other,"adjective, determiner",6.18,https://dictionary.cambridge.org/dictionary/learner-english/other_1
so-and-so,noun,6.17,https://dictionary.cambridge.org/dictionary/learner-english/so-and-so
one-to-one,"adjective, adverb",6.16,https://dictionary.cambridge.org/dictionary/learner-english/one-to-one
only,adjective,6.14,https://dictionary.cambridge.org/dictionary/learner-english/only_2
only,adverb,6.14,https://dictionary.cambridge.org/dictionary/learner-english/only_1
only,conjunction,6.14,https://dictionary.cambridge.org/dictionary/learner-english/only_3
than,"preposition, conjunction",6.14,https://dictionary.cambridge.org/dictionary/learner-english/than
all-out,adjective,6.13,https://dictionary.cambridge.org/dictionary/learner-english/all-out
first,adjective,6.13,https://dictionary.cambridge.org/dictionary/learner-english/first_1
first,adverb,6.13,https://dictionary.cambridge.org/dictionary/learner-english/first_2
good,adjective,6.12,https://dictionary.cambridge.org/dictionary/learner-english/good_1
good,noun,6.12,https://dictionary.cambridge.org/dictionary/learner-english/good_2
into,preposition,6.12,https://dictionary.cambridge.org/dictionary/learner-english/into
our,determiner,6.12,https://dictionary.cambridge.org/dictionary/learner-english/our
can-do,adjective,6.11,https://dictionary.cambridge.org/dictionary/learner-english/can-do
know,noun,6.11,https://dictionary.cambridge.org/dictionary/learner-english/know_2
know,verb,6.11,https://dictionary.cambridge.org/dictionary/learner-english/know_1
one-on-one,"adjective, adverb",6.11,https://dictionary.cambridge.org/dictionary/learner-english/one-on-one
see,verb,6.11,https://dictionary.cambridge.org/dictionary/learner-english/see
after,adverb,6.08,https://dictionary.cambridge.org/dictionary/learner-english/after_3
after,conjunction,6.08,https://dictionary.cambridge.org/dictionary/learner-english/after_2
after,preposition,6.08,https://dictionary.cambridge.org/dictionary/learner-english/after_1
all-time,adjective,6.08,https://dictionary.cambridge.org/dictionary/learner-english/all-time
me time,noun,6.08,https://dictionary.cambridge.org/dictionary/learner-english/me-time
one-time,adjective,6.07,https://dictionary.cambridge.org/dictionary/learner-english/one-time
then,adjective,6.07,https://dictionary.cambridge.org/dictionary/learner-english/then_2
then,adverb,6.07,https://dictionary.cambridge.org/dictionary/learner-english/then_1
no-no,noun,6.06,https://dictionary.cambridge.org/dictionary/learner-english/no-no
